Decimal ,Opcode,Hex Opcode,Hex Func,cvt,,Pipeline,AlphaCPU
1A.0,JMP,1A,0,28,,,
1A.1,JSR,1A,1,29,,,
1A.2,RET,1A,2,2A,,,
1A.3,JSR_COROUTINE,1A,3,2B,,,
1B,PAL1B,1B,,28,,,
1C.00,SEXTB,1C,0,28,,,
1C.01,SEXTW,1C,1,29,,,
1C.30,CTPOP,1C,30,58,,,
1C.31,PERR,1C,31,59,,,
1C.32,CTLZ,1C,32,5A,,,
1C.33,CTTZ,1C,33,5B,,,
1C.34,UNPKBW,1C,34,5C,,,
1C.35,UNPKBL,1C,35,5D,,,
1C.36,PKWB,1C,36,5E,,,
1C.37,PKLB,1C,37,5F,,,
1C.38,MINSB8,1C,38,60,,,
1C.39,MINSW4,1C,39,61,,,
1C.3A,MINUB8,1C,3A,62,,,
1C.3B,MINUW4,1C,3B,63,,,
1C.3C,MAXUB8,1C,3C,64,,,
1C.3D,MAXUW4,1C,3D,65,,,
1C.3E,MAXSB8,1C,3E,66,,,
1C.3F,MAXSW4,1C,3F,67,,,
1C.70,FTOIT,1C,70,98,,,
1C.78,FTOIS,1C,78,A0,,,
1D,PAL1D,1D,,28,,,
1E,PAL1E,1E,,28,,,
1F,PAL1F,1F,,28,,,
20,LDF,20,,28,,,
21,LDG,21,,28,,,
22,LDS,22,,28,,,
221,PREFETCH_M,221,,28,,,
23,LDT,23,,28,,,
231,PREFETCH_MEN,231,,28,,,
24,STF,24,,28,,,
25,STG,25,,28,,,
26,STS,26,,28,,,
27,STT,27,,28,,,
28,LDL,28,,28,,,
281,PREFETCH,281,,28,,,
29,LDQ,29,,28,,,
291,PREFETCH_EN,291,,28,,,
2A,LDL_L,2A,,28,,,
2B,LDQ_L,2B,,28,,,
2C,STL,2C,,28,,,
2D,STQ,2D,,28,,,
2E,STL_C,2E,,28,,,
2F,STQ_C,2F,,28,,,
30,BR,30,,28,,,
31,FBEQ,31,,28,,,
32,FBLT,32,,28,,,
33,FBLE,33,,28,,,
34,BSR,34,,28,,,
35,FBNE,35,,28,,,
36,FBGE,36,,28,,,
37,FBGT,37,,28,,,
38,BLBC,38,,28,,,
39,BEQ,39,,28,,,
3A,BLT,3A,,28,,,
3C,BLBS,3C,,28,,,
3D,BNE,3D,,28,,,
3F,BGT,3F,,28,,,
16,CVTFQ,,,,,,
,,,0x1AF,,,,
14.10B,SQRTS/UC,14,10B,,,,"m_cpu->triggerFloatingPointException m_cpu->setFloatRegister 
m_cpu->convertToIeeeS(result)"
14.78B,SQRTS_SUI,14,78B,,,,"m_cpu->getFloatRegister(
 m_cpu->setFloatingPointFlag(
m_cpu->scaleIeeeSResult(
m_cpu->setFloatRegister"
14.7AB,SQRTT_SUI,14,7AB,,,,"m_cpu->getFloatRegister(
 m_cpu->setFloatingPointFlag(
m_cpu->scaleIeeeTResult(
m_cpu->setFloatRegister"
